strategy,category,checkpoint,key,n_samples,ttr_mean,ttr_lo,ttr_hi,entropy_4gram_mean,entropy_4gram_lo,entropy_4gram_hi,rep_rate_5_mean,rep_rate_5_lo,rep_rate_5_hi,rep_mass_2_mean,rep_mass_2_lo,rep_mass_2_hi,rep_mass_3_mean,rep_mass_3_lo,rep_mass_3_hi,rep_mass_4_mean,rep_mass_4_lo,rep_mass_4_hi,rep_mass_5_mean,rep_mass_5_lo,rep_mass_5_hi,rep_mass_6_mean,rep_mass_6_lo,rep_mass_6_hi,longest_rep_sub_mean,longest_rep_sub_lo,longest_rep_sub_hi,compression_mean,compression_lo,compression_hi,mc_nll_bpc_mean,mc_nll_bpc_lo,mc_nll_bpc_hi,ngram_sim_4_mean,ngram_sim_4_lo,ngram_sim_4_hi,spelling_error_mean,spelling_error_lo,spelling_error_hi,kl_bits_mean,kl_bits_lo,kl_bits_hi,entropy_q_mean,entropy_q_lo,entropy_q_hi,entropy_p_mean,entropy_p_lo,entropy_p_hi,risk_achieved_mean,risk_achieved_lo,risk_achieved_hi,lambda_mean_mean,lambda_mean_lo,lambda_mean_hi,dual_feasible_rate_mean,dual_feasible_rate_lo,dual_feasible_rate_hi,dual_cap_hit_rate_mean,dual_cap_hit_rate_lo,dual_cap_hit_rate_hi,dual_min_risk_mean_mean,dual_min_risk_mean_lo,dual_min_risk_mean_hi,dual_violation_mean_mean,dual_violation_mean_lo,dual_violation_mean_hi,dual_violation_max_mean,dual_violation_max_lo,dual_violation_max_hi,dual_tolerance_mean_mean,dual_tolerance_mean_lo,dual_tolerance_mean_hi,loop_rate_persistent,survival_auc_persistent,rmst_persistent,loop_rate_ngram8,survival_auc_ngram8,rmst_ngram8,loop_rate_ngram10,survival_auc_ngram10,rmst_ngram10,loop_rate_ngram12,survival_auc_ngram12,rmst_ngram12,loop_rate_ngram16,survival_auc_ngram16,rmst_ngram16,loop_rate_lrs20,survival_auc_lrs20,rmst_lrs20,loop_rate_compress,survival_auc_compress,rmst_compress
lt_dual_eps0.01,loop_regime_rr,cosine,True,150,0.9785,0.9767,0.9802,8.956,8.9556,8.9564,0.0001,0.0,0.0001,0.743,0.7403,0.7455,0.0359,0.0336,0.0383,0.0011,0.0007,0.0015,0.0001,0.0001,0.0002,0.0,0.0,0.0,3.2333,3.1467,3.3133,0.6719,0.6701,0.6736,1.9935,1.9786,2.0118,0.2007,0.1976,0.2036,0.1567,0.1504,0.1626,11.6351,11.5185,11.7576,0.2411,0.2385,0.2437,0.1407,0.1386,0.1431,0.0061,0.0058,0.0063,47.9732,47.0484,48.8819,0.9887,0.9878,0.9896,0.0113,0.0104,0.0122,0.0,0.0,0.0,0.0028,0.0026,0.0031,0.29,0.27,0.3083,0.0,0.0,0.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0
lt_dual_eps0.05,loop_regime_rr,cosine,True,150,0.9612,0.9594,0.963,8.9512,8.9506,8.952,0.0001,0.0001,0.0002,0.7574,0.7542,0.7609,0.1192,0.1165,0.1219,0.0058,0.0051,0.0064,0.0003,0.0001,0.0005,0.0,0.0,0.0,3.84,3.74,3.9333,0.6675,0.6663,0.6687,1.8938,1.8744,1.9119,0.2213,0.2189,0.2237,0.1494,0.1417,0.1575,10.3227,10.2021,10.4306,0.3925,0.3894,0.3962,0.1449,0.1426,0.1472,0.0197,0.0196,0.0199,47.6466,47.0394,48.2254,0.9875,0.9871,0.988,0.0125,0.012,0.0129,0.0,0.0,0.0,0.0027,0.0026,0.0028,0.275,0.255,0.295,0.0,0.0,0.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0
