strategy,category,checkpoint,hard_constraint,survival_auc_ngram10,rmst_ngram10,loop_rate_ngram10,mc_nll_bpc,ngram_sim_4,spelling_error,compression,longest_rep_sub,chars_per_sec
lt_dual_eps0.01,loop_regime_rr,cosine,False,1.0,500.0,0.0,1.9935,0.2007,0.1567,0.6719,3.2333,
lt_dual_eps0.05,loop_regime_rr,cosine,False,1.0,500.0,0.0,1.8938,0.2213,0.1494,0.6675,3.84,
