strategy,checkpoint,n_samples,kl_bits_mean,kl_bits_lo,kl_bits_hi,risk_achieved_mean,risk_achieved_lo,risk_achieved_hi,latency_ms_mean,latency_ms_lo,latency_ms_hi,loop_rate,rmst,survival_auc
fsd,cosine,150,2.1836,2.1237,2.2389,0.4054,0.3961,0.4147,12.9218,8.5051,16.929,0.0133,498.75,0.9975
lzpenalty,cosine,150,0.1856,0.1804,0.1911,0.624,0.6131,0.6359,7.9145,5.9077,10.2398,0.0,500.0,1.0
