strategy,n_samples,rep_mass_3_mean,rep_mass_3_lo,rep_mass_3_hi,compression_mean,compression_lo,compression_hi,longest_rep_sub_mean,longest_rep_sub_lo,longest_rep_sub_hi,spelling_error_mean,spelling_error_lo,spelling_error_hi,entropy_4char_mean,entropy_4char_lo,entropy_4char_hi,mc_nll_bits_mean,mc_nll_bits_lo,mc_nll_bits_hi,kl_bits_mean,kl_bits_lo,kl_bits_hi,risk_achieved_mean,risk_achieved_lo,risk_achieved_hi,latency_ms_mean,latency_ms_lo,latency_ms_hi,loop_rate_persistent,survival_auc_persistent,rmst_persistent,tokens_per_sec,lambda_mean_mean,lambda_mean_lo,lambda_mean_hi,dual_feasible_rate_mean,dual_feasible_rate_lo,dual_feasible_rate_hi,dual_structurally_infeasible_rate_mean,dual_structurally_infeasible_rate_lo,dual_structurally_infeasible_rate_hi,dual_near_boundary_rate_mean,dual_near_boundary_rate_lo,dual_near_boundary_rate_hi
temperature_reference,50,0.6253,0.5092,0.7614,0.3507,0.2824,0.4087,154.3,112.574,205.054,0.0768,0.0632,0.0919,7.4175,7.0664,7.7518,0.727,0.6028,0.8488,0.0,0.0,0.0,0.4728,0.3619,0.603,1.6145,1.4993,1.7317,0.04,0.9919,148.78,4.85,,,,,,,,,,,,
lt_suffixmatch_a3.0,50,0.3878,0.27,0.5268,0.452,0.386,0.5077,50.82,29.6,78.2645,0.0926,0.0775,0.1131,7.9095,7.6039,8.2045,0.8978,0.7946,0.9995,0.2416,0.1004,0.4463,0.2806,0.1899,0.387,1.5533,1.4952,1.6237,0.04,0.9872,148.08,9.19,,,,,,,,,,,,
lt_fsd,50,0.0759,0.0618,0.0934,0.5618,0.5386,0.586,17.42,15.68,19.3405,0.1107,0.0935,0.13,8.5692,8.4796,8.6626,1.1531,1.0795,1.2415,1.6905,1.3705,2.0591,0.061,0.0508,0.0705,1.7491,1.7243,1.7784,0.0,1.0,150.0,9.15,,,,,,,,,,,,
lt_risk_only,50,0.5012,0.3586,0.6645,0.404,0.3184,0.4729,111.48,60.024,179.644,0.0885,0.0757,0.1045,7.6892,7.2958,8.0599,0.7906,0.6348,0.9299,0.0161,0.0096,0.0227,0.3735,0.2516,0.5239,3.0793,3.0185,3.1218,0.04,0.9897,148.46,9.09,3.0,3.0,3.0,,,,,,,,,
lt_adaptive,50,0.5195,0.3777,0.6819,0.3986,0.3153,0.4668,115.24,63.2035,182.2605,0.0896,0.0779,0.1054,7.6643,7.2808,8.0252,0.7903,0.6386,0.9277,0.0127,0.0079,0.0181,0.3847,0.2655,0.5308,3.128,3.11,3.1473,0.04,0.9885,148.28,9.1,3.696,2.614,5.0851,,,,,,,,,
lt_dual_eps0.01,50,0.0,0.0,0.0,0.5869,0.577,0.598,11.9,11.14,12.6005,0.0957,0.0881,0.1036,8.6988,8.6154,8.7716,1.8431,1.7538,1.9346,7.2571,6.5051,8.036,0.0019,0.0017,0.0022,6.1017,5.6991,6.5353,0.0,1.0,150.0,8.84,17.3914,15.5703,19.3283,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lt_dual_eps0.05,50,0.003,0.0019,0.0041,0.5806,0.5647,0.5967,12.96,12.24,13.4605,0.1013,0.092,0.1132,8.6756,8.6198,8.7254,1.8053,1.6998,1.9095,6.7394,5.9928,7.4646,0.0099,0.0087,0.011,6.1098,5.7874,6.4196,0.0,1.0,150.0,8.79,16.6401,14.7614,18.5028,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
