strategy,category,checkpoint,key,n_samples,ttr_mean,ttr_lo,ttr_hi,entropy_4gram_mean,entropy_4gram_lo,entropy_4gram_hi,rep_rate_5_mean,rep_rate_5_lo,rep_rate_5_hi,rep_mass_2_mean,rep_mass_2_lo,rep_mass_2_hi,rep_mass_3_mean,rep_mass_3_lo,rep_mass_3_hi,rep_mass_4_mean,rep_mass_4_lo,rep_mass_4_hi,rep_mass_5_mean,rep_mass_5_lo,rep_mass_5_hi,rep_mass_6_mean,rep_mass_6_lo,rep_mass_6_hi,longest_rep_sub_mean,longest_rep_sub_lo,longest_rep_sub_hi,compression_mean,compression_lo,compression_hi,mc_nll_bpc_mean,mc_nll_bpc_lo,mc_nll_bpc_hi,ngram_sim_4_mean,ngram_sim_4_lo,ngram_sim_4_hi,spelling_error_mean,spelling_error_lo,spelling_error_hi,loop_rate_ngram8,survival_auc_ngram8,rmst_ngram8,loop_rate_ngram10,survival_auc_ngram10,rmst_ngram10,loop_rate_ngram12,survival_auc_ngram12,rmst_ngram12,loop_rate_ngram16,survival_auc_ngram16,rmst_ngram16,loop_rate_lrs20,survival_auc_lrs20,rmst_lrs20,loop_rate_compress,survival_auc_compress,rmst_compress
rep_penalty_1.5,sweep_reppen,cosine,True,150,0.8752,0.8692,0.8814,8.8214,8.8159,8.8275,0.025,0.0234,0.0267,0.721,0.7168,0.7247,0.2994,0.2942,0.3046,0.1153,0.1109,0.1196,0.0475,0.0446,0.0507,0.0194,0.0174,0.0218,7.48,7.2332,7.7267,0.6889,0.6865,0.6912,1.9645,1.9461,1.9814,0.1924,0.19,0.1945,0.1433,0.1373,0.1497,0.42,0.8394,419.7,0.0933,0.9706,485.3,0.0267,0.9906,495.3,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0
lookback_a5.0,sweep_lookback,cosine,True,150,0.7383,0.7335,0.7435,8.6962,8.6885,8.704,0.0449,0.0428,0.0469,0.8114,0.8079,0.8151,0.406,0.4004,0.4117,0.1789,0.1745,0.1833,0.0785,0.0751,0.0821,0.0289,0.0262,0.0318,7.74,7.4667,8.0733,0.6171,0.6144,0.6196,1.3085,1.3011,1.316,0.2707,0.2689,0.2727,0.0587,0.0545,0.063,0.4467,0.8278,413.9,0.12,0.9519,475.95,0.0467,0.9762,488.1,0.0133,0.9881,494.05,0.0,1.0,500.0,0.0,1.0,500.0
rr_entropy_only,ablation,cosine,True,150,0.6652,0.6593,0.671,8.5196,8.4989,8.5377,0.0999,0.0945,0.1058,0.8338,0.8304,0.8371,0.4906,0.4839,0.4973,0.2792,0.2712,0.2873,0.1695,0.1616,0.1782,0.1002,0.0928,0.1082,11.1333,10.48,12.047,0.5861,0.583,0.5892,1.2801,1.2687,1.2901,0.262,0.2594,0.2644,0.0573,0.053,0.0618,0.9933,0.4238,211.9,0.66,0.6931,346.55,0.2867,0.8848,442.4,0.0333,0.9746,487.3,0.0267,0.9809,490.45,0.0,1.0,500.0
