strategy,n_samples,rep_mass_3_mean,rep_mass_3_lo,rep_mass_3_hi,compression_mean,compression_lo,compression_hi,longest_rep_sub_mean,longest_rep_sub_lo,longest_rep_sub_hi,mc_nll_bits_mean,mc_nll_bits_lo,mc_nll_bits_hi,spelling_error_mean,spelling_error_lo,spelling_error_hi,entropy_4char_mean,entropy_4char_lo,entropy_4char_hi,loop_rate_persistent,survival_auc_persistent,rmst_persistent,tokens_per_sec
lt_fsd,100,0.0784,0.0668,0.0931,0.4981,0.4716,0.5213,19.6,17.4195,21.801,2.1221,2.063,2.1859,0.0729,0.0626,0.0821,8.8087,8.6626,8.9243,0.0,1.0,200.0,22.3
lt_lzpenalty,100,0.4574,0.3325,0.6031,0.3947,0.3162,0.4595,125.69,91.3942,168.221,1.532,1.2692,1.7301,0.0869,0.0737,0.0987,8.3064,7.7255,8.7548,0.08,0.9678,193.56,9.8
