strategy,n_samples,rep_mass_3_mean,rep_mass_3_lo,rep_mass_3_hi,compression_mean,compression_lo,compression_hi,longest_rep_sub_mean,longest_rep_sub_lo,longest_rep_sub_hi,spelling_error_mean,spelling_error_lo,spelling_error_hi,entropy_4char_mean,entropy_4char_lo,entropy_4char_hi,mc_nll_bits_mean,mc_nll_bits_lo,mc_nll_bits_hi,kl_bits_mean,kl_bits_lo,kl_bits_hi,risk_achieved_mean,risk_achieved_lo,risk_achieved_hi,latency_ms_mean,latency_ms_lo,latency_ms_hi,loop_rate_persistent,survival_auc_persistent,rmst_persistent,tokens_per_sec
lt_fsd,50,0.0428,0.0347,0.0528,0.5747,0.5524,0.598,15.14,14.1795,16.12,0.1042,0.0918,0.1153,8.5709,8.5011,8.6504,1.4883,1.3687,1.6133,4.2521,3.6285,4.9068,0.0482,0.0418,0.0558,2.8547,2.719,3.0004,0.0,1.0,150.0,4.56
lt_lzpenalty,50,0.3212,0.1838,0.5057,0.4912,0.4046,0.5535,68.74,30.6175,125.869,0.1131,0.0962,0.1315,8.227,7.8544,8.5108,0.9741,0.8132,1.1051,1.0044,0.7597,1.2369,0.233,0.1236,0.3893,8.0622,7.9683,8.1559,0.02,0.9959,149.38,8.53
