strategy,category,checkpoint,rmst_persistent,rmst_ngram8,rmst_ngram10,rmst_ngram12,rmst_ngram16,rmst_lrs20,rmst_compress,loop_rate_persistent,loop_rate_ngram8,loop_rate_ngram10,loop_rate_ngram12,loop_rate_ngram16,loop_rate_lrs20,loop_rate_compress
greedy,baseline,cosine,130.4,28.35,28.35,28.35,30.05,63.0,140.0,0.9333,1.0,1.0,1.0,1.0,1.0,1.0
lt_temp_0.05,loop_regime,cosine,169.8,33.3,35.25,35.25,37.75,66.4,229.2,0.86,1.0,1.0,1.0,1.0,1.0,0.78
lt_temp_0.1,loop_regime,cosine,404.45,32.85,38.5,41.35,46.8,83.4,433.15,0.2867,1.0,1.0,1.0,1.0,1.0,0.2133
lt_temp_0.15,loop_regime,cosine,500.0,40.4,57.4,63.65,84.3,129.5,500.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
lt_rep_penalty_1.3,loop_regime,cosine,486.4,87.15,101.75,110.55,138.2,185.95,481.15,0.0467,1.0,1.0,1.0,1.0,1.0,0.08
lt_no_repeat_4gram,loop_regime_hard,cosine,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lt_suffixmatch_a3.0,loop_regime,cosine,500.0,92.8,380.0,466.6,480.15,494.6,500.0,0.0,1.0,0.8933,0.5733,0.4067,0.1933,0.0
lt_fsd,loop_regime,cosine,500.0,495.65,499.7,500.0,500.0,500.0,500.0,0.0,0.0467,0.0133,0.0,0.0,0.0,0.0
lt_lzpenalty,loop_regime,cosine,500.0,75.35,140.55,175.6,253.0,342.8,500.0,0.0,1.0,1.0,1.0,0.9867,0.8533,0.0
