strategy,category,checkpoint,key,n_samples,ttr_mean,ttr_lo,ttr_hi,entropy_4gram_mean,entropy_4gram_lo,entropy_4gram_hi,rep_rate_5_mean,rep_rate_5_lo,rep_rate_5_hi,rep_mass_2_mean,rep_mass_2_lo,rep_mass_2_hi,rep_mass_3_mean,rep_mass_3_lo,rep_mass_3_hi,rep_mass_4_mean,rep_mass_4_lo,rep_mass_4_hi,rep_mass_5_mean,rep_mass_5_lo,rep_mass_5_hi,rep_mass_6_mean,rep_mass_6_lo,rep_mass_6_hi,longest_rep_sub_mean,longest_rep_sub_lo,longest_rep_sub_hi,compression_mean,compression_lo,compression_hi,mc_nll_bpc_mean,mc_nll_bpc_lo,mc_nll_bpc_hi,ngram_sim_4_mean,ngram_sim_4_lo,ngram_sim_4_hi,spelling_error_mean,spelling_error_lo,spelling_error_hi,loop_rate_persistent,survival_auc_persistent,rmst_persistent,loop_rate_ngram8,survival_auc_ngram8,rmst_ngram8,loop_rate_ngram10,survival_auc_ngram10,rmst_ngram10,loop_rate_ngram12,survival_auc_ngram12,rmst_ngram12,loop_rate_ngram16,survival_auc_ngram16,rmst_ngram16,loop_rate_lrs20,survival_auc_lrs20,rmst_lrs20,loop_rate_compress,survival_auc_compress,rmst_compress,chars_per_sec
greedy,baseline,cosine,True,150,0.0823,0.0723,0.0965,4.8334,4.7835,4.895,0.884,0.8731,0.8915,0.9876,0.9788,0.9935,0.9821,0.9715,0.9892,0.9783,0.9677,0.9856,0.9747,0.9638,0.9823,0.9712,0.9601,0.9787,242.0,231.8583,247.8667,0.1371,0.1307,0.1456,0.8199,0.8162,0.8243,0.0893,0.0869,0.0927,0.0021,0.0,0.0041,0.9333,0.2608,130.4,1.0,0.0567,28.35,1.0,0.0567,28.35,1.0,0.0567,28.35,1.0,0.0601,30.05,1.0,0.126,63.0,1.0,0.28,140.0,133.9
lt_temp_0.05,loop_regime,cosine,False,50,0.1339,0.1224,0.1526,5.4091,5.3251,5.5017,0.7946,0.7787,0.8087,0.9616,0.9547,0.9675,0.9287,0.9181,0.9383,0.9101,0.8974,0.9221,0.8948,0.8807,0.9083,0.8787,0.8638,0.8931,76.2,72.12,82.86,0.2156,0.2048,0.2271,0.8312,0.8206,0.8388,0.1161,0.1108,0.1212,0.004,0.0019,0.0055,0.86,0.3396,169.8,1.0,0.0666,33.3,1.0,0.0705,35.25,1.0,0.0705,35.25,1.0,0.0755,37.75,1.0,0.1328,66.4,0.78,0.4584,229.2,
lt_temp_0.1,loop_regime,cosine,True,150,0.2223,0.2125,0.2342,6.2498,6.1979,6.3054,0.6633,0.6526,0.6724,0.9367,0.9324,0.9407,0.8722,0.8641,0.8795,0.8354,0.8258,0.8439,0.806,0.7953,0.8152,0.7754,0.7643,0.7853,48.9333,47.2392,50.5812,0.301,0.2957,0.3069,0.8863,0.8815,0.8911,0.1554,0.152,0.1589,0.0028,0.0018,0.0038,0.2867,0.8089,404.45,1.0,0.0657,32.85,1.0,0.077,38.5,1.0,0.0827,41.35,1.0,0.0936,46.8,1.0,0.1668,83.4,0.2133,0.8663,433.15,
lt_temp_0.15,loop_regime,cosine,False,50,0.2904,0.2756,0.3053,6.7614,6.6922,6.8429,0.5536,0.5384,0.5672,0.9206,0.9145,0.9251,0.8181,0.8085,0.826,0.7584,0.746,0.7689,0.7126,0.6978,0.7247,0.6673,0.6528,0.6794,35.94,33.28,38.52,0.3595,0.3519,0.3714,0.9259,0.9183,0.935,0.1813,0.1744,0.1883,0.0053,0.0043,0.0069,0.0,1.0,500.0,1.0,0.0808,40.4,1.0,0.1148,57.4,1.0,0.1273,63.65,1.0,0.1686,84.3,1.0,0.259,129.5,0.0,1.0,500.0,
lt_rep_penalty_1.3,loop_regime,cosine,True,150,0.3569,0.3463,0.3676,7.0218,6.9642,7.0806,0.5004,0.4873,0.5143,0.8831,0.8779,0.888,0.7596,0.7502,0.7693,0.6912,0.6796,0.7038,0.6449,0.6313,0.6597,0.6018,0.5865,0.6183,36.5133,35.2133,37.6003,0.4142,0.4059,0.4223,0.9502,0.9433,0.9569,0.1987,0.1942,0.2032,0.0065,0.0052,0.0079,0.0467,0.9728,486.4,1.0,0.1743,87.15,1.0,0.2035,101.75,1.0,0.2211,110.55,1.0,0.2764,138.2,1.0,0.3719,185.95,0.08,0.9623,481.15,
lt_no_repeat_4gram,loop_regime_hard,cosine,True,150,0.9131,0.9078,0.9184,8.9571,8.9571,8.9571,0.0,0.0,0.0,0.798,0.7956,0.8007,0.3918,0.3885,0.3947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.6081,0.6066,0.6095,1.7221,1.709,1.7354,0.2495,0.2467,0.2528,0.1347,0.1294,0.14,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,
lt_suffixmatch_a3.0,loop_regime,cosine,True,150,0.5085,0.5054,0.5117,8.0483,8.0365,8.0611,0.2157,0.2116,0.2191,0.8723,0.87,0.8747,0.6088,0.6039,0.6137,0.4366,0.4301,0.4425,0.3242,0.317,0.3302,0.2257,0.2187,0.2313,14.9267,14.0797,15.814,0.5294,0.5277,0.531,1.017,1.0137,1.0207,0.2671,0.2657,0.2684,0.0151,0.0133,0.0168,0.0,1.0,500.0,1.0,0.1856,92.8,0.8933,0.76,380.0,0.5733,0.9332,466.6,0.4067,0.9603,480.15,0.1933,0.9892,494.6,0.0,1.0,500.0,
lt_fsd,loop_regime,cosine,True,150,0.7511,0.7465,0.7559,8.7683,8.7611,8.7761,0.0231,0.0216,0.0246,0.8153,0.8123,0.8185,0.3852,0.3812,0.3893,0.133,0.1283,0.1373,0.0415,0.0389,0.0441,0.0081,0.0069,0.0092,6.16,6.0067,6.32,0.6278,0.6258,0.6299,1.2184,1.2129,1.2238,0.2994,0.2971,0.3015,0.0428,0.0403,0.0453,0.0,1.0,500.0,0.0467,0.9913,495.65,0.0133,0.9994,499.7,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,
lt_lzpenalty,loop_regime,cosine,True,150,0.4575,0.4525,0.4628,7.8447,7.818,7.8732,0.3257,0.319,0.3323,0.8832,0.8806,0.8854,0.6985,0.6947,0.7021,0.5834,0.577,0.5895,0.5003,0.4928,0.5074,0.4268,0.4184,0.4344,23.8667,22.9132,24.8535,0.4921,0.489,0.4956,0.9972,0.9922,1.0021,0.2469,0.2452,0.2489,0.0158,0.0138,0.0179,0.0,1.0,500.0,1.0,0.1507,75.35,1.0,0.2811,140.55,1.0,0.3512,175.6,0.9867,0.506,253.0,0.8533,0.6856,342.8,0.0,1.0,500.0,
