strategy,n_samples,rep_mass_3_mean,rep_mass_3_lo,rep_mass_3_hi,compression_mean,compression_lo,compression_hi,longest_rep_sub_mean,longest_rep_sub_lo,longest_rep_sub_hi,spelling_error_mean,spelling_error_lo,spelling_error_hi,entropy_4char_mean,entropy_4char_lo,entropy_4char_hi,mc_nll_bits_mean,mc_nll_bits_lo,mc_nll_bits_hi,kl_bits_mean,kl_bits_lo,kl_bits_hi,risk_achieved_mean,risk_achieved_lo,risk_achieved_hi,latency_ms_mean,latency_ms_lo,latency_ms_hi,loop_rate_persistent,survival_auc_persistent,rmst_persistent,tokens_per_sec,lambda_mean_mean,lambda_mean_lo,lambda_mean_hi,dual_feasible_rate_mean,dual_feasible_rate_lo,dual_feasible_rate_hi,dual_structurally_infeasible_rate_mean,dual_structurally_infeasible_rate_lo,dual_structurally_infeasible_rate_hi,dual_near_boundary_rate_mean,dual_near_boundary_rate_lo,dual_near_boundary_rate_hi
temperature_reference,50,0.6535,0.5517,0.7539,0.3266,0.2669,0.3833,188.04,153.4195,227.1625,0.1012,0.0824,0.1219,7.5777,7.2133,7.8979,0.979,0.8574,1.0882,0.0,0.0,0.0,0.4882,0.3998,0.5816,1.5483,1.5293,1.5702,0.12,0.9631,144.47,37.76,,,,,,,,,,,,
lt_suffixmatch_a3.0,50,0.3942,0.3021,0.4952,0.4301,0.3821,0.4798,56.38,45.8775,71.42,0.1143,0.0948,0.1365,8.1082,7.8844,8.311,1.2698,1.1929,1.3445,0.2226,0.1507,0.2992,0.2643,0.2045,0.3285,1.7191,1.6532,1.7809,0.0,1.0,150.0,39.8,,,,,,,,,,,,
lt_fsd,50,0.0374,0.0255,0.0519,0.559,0.542,0.5791,17.42,16.06,18.6,0.1096,0.0991,0.1219,8.7454,8.7036,8.7828,1.5029,1.421,1.5768,1.5096,1.2771,1.7437,0.0363,0.0312,0.0419,1.8655,1.8447,1.8845,0.0,1.0,150.0,38.85,,,,,,,,,,,,
lt_risk_only,50,0.5549,0.46,0.6476,0.3668,0.3096,0.4243,153.86,122.494,188.156,0.1082,0.0879,0.1303,7.7772,7.4217,8.0635,1.0833,0.9657,1.1748,0.0148,0.0108,0.0183,0.4032,0.3252,0.4878,3.2469,3.2258,3.2683,0.12,0.9748,146.22,37.14,3.0,3.0,3.0,,,,,,,,,
lt_adaptive,50,0.5751,0.4623,0.6887,0.3636,0.3047,0.4232,151.42,114.6595,189.8425,0.1076,0.0853,0.1302,7.7946,7.4835,8.0921,1.0701,0.9839,1.1514,0.0269,0.0176,0.0368,0.4116,0.3221,0.5048,3.2778,3.2628,3.2925,0.02,0.9973,149.59,37.31,3.8863,3.1103,4.7458,,,,,,,,,
lt_dual_eps0.01,50,0.0003,0.0,0.0008,0.5807,0.5611,0.6032,12.98,11.62,14.26,0.1035,0.0888,0.118,8.8569,8.8332,8.88,1.8663,1.8077,1.9303,4.5902,4.0123,5.2077,0.0016,0.0014,0.0018,5.5711,5.3054,5.8334,0.0,1.0,150.0,35.84,11.3771,10.144,12.6738,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lt_dual_eps0.05,50,0.0024,0.0011,0.0041,0.5789,0.5592,0.6023,13.98,12.7,15.24,0.1032,0.0869,0.1213,8.8424,8.8128,8.8687,1.8575,1.7823,1.9368,4.389,3.6451,5.1908,0.0081,0.0072,0.0089,5.7167,5.441,5.9882,0.0,1.0,150.0,35.26,11.2985,9.5789,13.1288,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
