experiment,strategy,R,P_max,loop_rate,ci_lo,ci_hi,n
olmo,lt_dual_eps0.05,5,10,0.0,0.0,0.0,50
olmo,lt_dual_eps0.05,5,15,0.0,0.0,0.0,50
olmo,lt_dual_eps0.05,5,20,0.0,0.0,0.0,50
olmo,lt_dual_eps0.05,5,30,0.0,0.0,0.0,50
olmo,lt_dual_eps0.05,5,40,0.0,0.0,0.0,50
olmo,lt_dual_eps0.05,6,10,0.0,0.0,0.0,50
olmo,lt_dual_eps0.05,6,15,0.0,0.0,0.0,50
olmo,lt_dual_eps0.05,6,20,0.0,0.0,0.0,50
olmo,lt_dual_eps0.05,6,30,0.0,0.0,0.0,50
olmo,lt_dual_eps0.05,6,40,0.0,0.0,0.0,50
olmo,lt_dual_eps0.05,7,10,0.0,0.0,0.0,50
olmo,lt_dual_eps0.05,7,15,0.0,0.0,0.0,50
olmo,lt_dual_eps0.05,7,20,0.0,0.0,0.0,50
olmo,lt_dual_eps0.05,7,30,0.0,0.0,0.0,50
olmo,lt_dual_eps0.05,7,40,0.0,0.0,0.0,50
olmo,lt_dual_eps0.05,8,10,0.0,0.0,0.0,50
olmo,lt_dual_eps0.05,8,15,0.0,0.0,0.0,50
olmo,lt_dual_eps0.05,8,20,0.0,0.0,0.0,50
olmo,lt_dual_eps0.05,8,30,0.0,0.0,0.0,50
olmo,lt_dual_eps0.05,8,40,0.0,0.0,0.0,50
