strategy,category,checkpoint,key,n_samples,ttr_mean,ttr_lo,ttr_hi,entropy_4gram_mean,entropy_4gram_lo,entropy_4gram_hi,rep_rate_5_mean,rep_rate_5_lo,rep_rate_5_hi,rep_mass_2_mean,rep_mass_2_lo,rep_mass_2_hi,rep_mass_3_mean,rep_mass_3_lo,rep_mass_3_hi,rep_mass_4_mean,rep_mass_4_lo,rep_mass_4_hi,rep_mass_5_mean,rep_mass_5_lo,rep_mass_5_hi,rep_mass_6_mean,rep_mass_6_lo,rep_mass_6_hi,longest_rep_sub_mean,longest_rep_sub_lo,longest_rep_sub_hi,compression_mean,compression_lo,compression_hi,mc_nll_bpc_mean,mc_nll_bpc_lo,mc_nll_bpc_hi,ngram_sim_4_mean,ngram_sim_4_lo,ngram_sim_4_hi,spelling_error_mean,spelling_error_lo,spelling_error_hi,loop_rate_persistent,survival_auc_persistent,rmst_persistent,loop_rate_ngram8,survival_auc_ngram8,rmst_ngram8,loop_rate_ngram10,survival_auc_ngram10,rmst_ngram10,loop_rate_ngram12,survival_auc_ngram12,rmst_ngram12,loop_rate_ngram16,survival_auc_ngram16,rmst_ngram16,loop_rate_lrs20,survival_auc_lrs20,rmst_lrs20,loop_rate_compress,survival_auc_compress,rmst_compress
lt_fsd,loop_regime,cosine,True,150,0.4844,0.4745,0.4947,7.5945,7.5496,7.633,0.3622,0.3522,0.3735,0.8446,0.8396,0.8496,0.6582,0.6485,0.668,0.5532,0.542,0.565,0.4863,0.4739,0.4987,0.4308,0.4185,0.4435,30.3333,29.1665,31.5403,0.4964,0.4897,0.5023,1.0994,1.0907,1.108,0.2163,0.2141,0.2185,0.0259,0.0232,0.0286,0.0133,0.9975,498.75,1.0,0.2392,119.6,1.0,0.2944,147.2,1.0,0.379,189.5,0.9933,0.5428,271.4,0.9667,0.6604,330.2,0.0133,0.998,499.0
lt_lzpenalty,loop_regime,cosine,True,150,0.2792,0.2658,0.2906,6.7343,6.6758,6.7882,0.5947,0.5828,0.6078,0.9254,0.9228,0.9281,0.8425,0.8355,0.8502,0.7954,0.786,0.8061,0.7594,0.7481,0.7722,0.7255,0.7127,0.7398,41.58,40.1192,43.2,0.3453,0.3376,0.3521,0.9237,0.918,0.9291,0.1803,0.176,0.1842,0.0075,0.0065,0.0087,0.0,1.0,500.0,1.0,0.1077,53.85,1.0,0.1332,66.6,1.0,0.1386,69.3,1.0,0.1611,80.55,1.0,0.2406,120.3,0.0,1.0,500.0
