strategy,category,checkpoint,key,n_samples,ttr_mean,ttr_lo,ttr_hi,entropy_4gram_mean,entropy_4gram_lo,entropy_4gram_hi,rep_rate_5_mean,rep_rate_5_lo,rep_rate_5_hi,rep_mass_2_mean,rep_mass_2_lo,rep_mass_2_hi,rep_mass_3_mean,rep_mass_3_lo,rep_mass_3_hi,rep_mass_4_mean,rep_mass_4_lo,rep_mass_4_hi,rep_mass_5_mean,rep_mass_5_lo,rep_mass_5_hi,rep_mass_6_mean,rep_mass_6_lo,rep_mass_6_hi,longest_rep_sub_mean,longest_rep_sub_lo,longest_rep_sub_hi,compression_mean,compression_lo,compression_hi,mc_nll_bpc_mean,mc_nll_bpc_lo,mc_nll_bpc_hi,ngram_sim_4_mean,ngram_sim_4_lo,ngram_sim_4_hi,spelling_error_mean,spelling_error_lo,spelling_error_hi,kl_bits_mean,kl_bits_lo,kl_bits_hi,entropy_q_mean,entropy_q_lo,entropy_q_hi,entropy_p_mean,entropy_p_lo,entropy_p_hi,risk_achieved_mean,risk_achieved_lo,risk_achieved_hi,lambda_mean_mean,lambda_mean_lo,lambda_mean_hi,loop_rate_persistent,survival_auc_persistent,rmst_persistent,loop_rate_ngram8,survival_auc_ngram8,rmst_ngram8,loop_rate_ngram10,survival_auc_ngram10,rmst_ngram10,loop_rate_ngram12,survival_auc_ngram12,rmst_ngram12,loop_rate_ngram16,survival_auc_ngram16,rmst_ngram16,loop_rate_lrs20,survival_auc_lrs20,rmst_lrs20,loop_rate_compress,survival_auc_compress,rmst_compress
lt_risk_only,loop_regime_rr,cosine,True,150,0.315,0.3077,0.3226,6.8771,6.8287,6.9232,0.5129,0.5035,0.5229,0.9078,0.9043,0.9113,0.7826,0.7758,0.7893,0.7085,0.6994,0.7184,0.6546,0.6439,0.6662,0.6023,0.5903,0.6154,32.9333,31.8732,34.0937,0.3812,0.3748,0.3872,0.9668,0.9605,0.9727,0.1886,0.1856,0.1918,0.0044,0.0036,0.0052,0.0372,0.0364,0.0381,0.267,0.2646,0.2695,0.2245,0.2218,0.2269,0.55,0.5411,0.5591,2.0,2.0,2.0,0.0267,0.9857,492.85,1.0,0.0876,43.8,1.0,0.1405,70.25,1.0,0.1614,80.7,1.0,0.1988,99.4,1.0,0.3247,162.35,0.0267,0.9825,491.25
lt_risk_only_genonly,loop_regime_rr,cosine,True,150,0.3135,0.3061,0.3222,6.8688,6.8362,6.9101,0.5131,0.5048,0.52,0.9075,0.9048,0.9104,0.7823,0.7766,0.7874,0.7077,0.7006,0.7145,0.6533,0.6446,0.6613,0.601,0.5912,0.61,32.3667,31.8598,32.9135,0.3799,0.3756,0.3851,0.9662,0.9609,0.9717,0.1887,0.1857,0.1921,0.0044,0.0037,0.0051,0.0371,0.0363,0.0381,0.267,0.2644,0.2695,0.2243,0.2215,0.227,0.5415,0.5339,0.5479,2.0,2.0,2.0,0.0067,0.9997,499.85,1.0,0.0828,41.4,1.0,0.1312,65.6,1.0,0.1533,76.65,1.0,0.1868,93.4,1.0,0.3209,160.45,0.0067,0.9947,497.35
