strategy,n_samples,rep_mass_3_mean,rep_mass_3_lo,rep_mass_3_hi,compression_mean,compression_lo,compression_hi,longest_rep_sub_mean,longest_rep_sub_lo,longest_rep_sub_hi,spelling_error_mean,spelling_error_lo,spelling_error_hi,entropy_4char_mean,entropy_4char_lo,entropy_4char_hi,mc_nll_bits_mean,mc_nll_bits_lo,mc_nll_bits_hi,kl_bits_mean,kl_bits_lo,kl_bits_hi,risk_achieved_mean,risk_achieved_lo,risk_achieved_hi,latency_ms_mean,latency_ms_lo,latency_ms_hi,loop_rate_persistent,survival_auc_persistent,rmst_persistent,tokens_per_sec
lt_fsd,50,0.0178,0.0143,0.0215,0.5511,0.5244,0.5773,16.8,15.5995,18.0805,0.1067,0.0942,0.1226,8.7171,8.6299,8.7975,1.6633,1.5978,1.7263,3.1882,2.5625,3.8358,0.0349,0.0291,0.0403,4.3719,3.3946,5.5392,0.0,1.0,150.0,29.28
lt_lzpenalty,50,0.1908,0.1428,0.2392,0.5123,0.4878,0.5345,52.52,39.0375,65.501,0.1202,0.1023,0.1375,8.6599,8.5413,8.7559,1.4961,1.384,1.5961,2.0403,1.6527,2.3713,0.1293,0.096,0.1629,75.2261,64.0311,83.8975,0.0,1.0,150.0,6.08
