step,train_loss,val_loss,train_bpc,val_bpc,seconds
1,4.559441,4.282242,6.5779,6.1780,3.5
500,2.366899,2.502614,3.4147,3.6105,153.6
1000,2.064485,2.056127,2.9784,2.9664,308.8
1500,1.704650,1.664969,2.4593,2.4020,460.3
2000,1.489438,1.268548,2.1488,1.8301,612.2
2500,1.259225,0.941646,1.8167,1.3585,763.8
3000,1.048408,0.692293,1.5125,0.9988,917.0
