strategy,category,checkpoint,key,n_samples,ttr_mean,ttr_lo,ttr_hi,entropy_4gram_mean,entropy_4gram_lo,entropy_4gram_hi,rep_rate_5_mean,rep_rate_5_lo,rep_rate_5_hi,rep_mass_2_mean,rep_mass_2_lo,rep_mass_2_hi,rep_mass_3_mean,rep_mass_3_lo,rep_mass_3_hi,rep_mass_4_mean,rep_mass_4_lo,rep_mass_4_hi,rep_mass_5_mean,rep_mass_5_lo,rep_mass_5_hi,rep_mass_6_mean,rep_mass_6_lo,rep_mass_6_hi,longest_rep_sub_mean,longest_rep_sub_lo,longest_rep_sub_hi,compression_mean,compression_lo,compression_hi,mc_nll_bpc_mean,mc_nll_bpc_lo,mc_nll_bpc_hi,ngram_sim_4_mean,ngram_sim_4_lo,ngram_sim_4_hi,spelling_error_mean,spelling_error_lo,spelling_error_hi,loop_rate_persistent,survival_auc_persistent,rmst_persistent,loop_rate_ngram8,survival_auc_ngram8,rmst_ngram8,loop_rate_ngram10,survival_auc_ngram10,rmst_ngram10,loop_rate_ngram12,survival_auc_ngram12,rmst_ngram12,loop_rate_ngram16,survival_auc_ngram16,rmst_ngram16,loop_rate_lrs20,survival_auc_lrs20,rmst_lrs20,loop_rate_compress,survival_auc_compress,rmst_compress
lt_fsd,loop_regime,nonfiction_baseline,True,150,0.3979,0.3906,0.4052,7.0842,7.0349,7.1329,0.494,0.4849,0.5027,0.8664,0.8624,0.871,0.7375,0.7301,0.7449,0.6699,0.6606,0.6789,0.622,0.6125,0.6312,0.5786,0.5692,0.5873,40.54,38.7533,42.327,0.4299,0.4248,0.4353,0.8519,0.8389,0.8666,0.1956,0.1929,0.1984,0.034,0.0291,0.0384,0.1667,0.9721,486.05,1.0,0.2109,105.45,1.0,0.2898,144.9,1.0,0.3133,156.65,1.0,0.4167,208.35,0.9933,0.5615,280.75,0.1333,0.9868,493.4
lt_lzpenalty,loop_regime,nonfiction_baseline,True,150,0.2337,0.2249,0.2417,6.3631,6.3059,6.4189,0.6834,0.6717,0.6957,0.9465,0.9418,0.9512,0.8967,0.8881,0.9053,0.8637,0.853,0.8747,0.8373,0.8247,0.8504,0.8108,0.7967,0.8255,52.76,50.4527,55.3402,0.2957,0.2901,0.301,0.6492,0.6432,0.6547,0.1715,0.1689,0.174,0.0258,0.0214,0.0302,0.02,0.9966,498.3,1.0,0.0986,49.3,1.0,0.1165,58.25,1.0,0.1277,63.85,1.0,0.1549,77.45,1.0,0.2367,118.35,0.0267,0.9944,497.2
