strategy,category,checkpoint,hard_constraint,survival_auc_persistent,rmst_persistent,loop_rate_persistent,survival_auc_ngram10_RETRACTED_DO_NOT_USE,rmst_ngram10_RETRACTED_DO_NOT_USE,loop_rate_ngram10_RETRACTED_DO_NOT_USE,mc_nll_bpc,ngram_sim_4,spelling_error,compression,longest_rep_sub,chars_per_sec
lt_fsd,loop_regime,nonfiction_baseline,False,0.9721,486.05,0.1667,0.2898,144.9,1.0,0.8519,0.1956,0.034,0.4299,40.54,
lt_lzpenalty,loop_regime,nonfiction_baseline,False,0.9966,498.3,0.02,0.1165,58.25,1.0,0.6492,0.1715,0.0258,0.2957,52.76,
